 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
  app_intercommunal_delete                          ANY        ANY      ANY    /intercommunal/delete/{id}                                                                                                                                                                                                                                                                                AppBundle:Intercommunal:delete                        
  app_abus                                          ANY        ANY      ANY    /abus                                                                                                                                                                                                                                                                                                     AppBundle:Abus:index                                  
  app_abus_grid                                     ANY        ANY      ANY    /abusGrid                                                                                                                                                                                                                                                                                                 AppBundle:Abus:indexGrid                              
  app_abus_update                                   ANY        ANY      ANY    /abus/update/{id}                                                                                                                                                                                                                                                                                         AppBundle:Abus:update                                 
  app_number                                        ANY        ANY      ANY    /number                                                                                                                                                                                                                                                                                                   AppBundle:Number:index                                
  app_number_grid                                   ANY        ANY      ANY    /numberGrid                                                                                                                                                                                                                                                                                               AppBundle:Number:indexGrid                            
  app_number_add                                    ANY        ANY      ANY    /number/add                                                                                                                                                                                                                                                                                               AppBundle:Number:add                                  
  app_number_update                                 ANY        ANY      ANY    /number/update/{id}                                                                                                                                                                                                                                                                                       AppBundle:Number:update                               
  app_number_delete                                 ANY        ANY      ANY    /number/delete/{id}                                                                                                                                                                                                                                                                                       AppBundle:Number:delete                               
  app_association                                   ANY        ANY      ANY    /association                                                                                                                                                                                                                                                                                              AppBundle:Association:index                           
  app_association_grid                              ANY        ANY      ANY    /associationGrid                                                                                                                                                                                                                                                                                          AppBundle:Association:indexGrid                       
  app_association_add                               ANY        ANY      ANY    /association/add                                                                                                                                                                                                                                                                                          AppBundle:Association:add                             
  app_association_update                            ANY        ANY      ANY    /association/update/{id}                                                                                                                                                                                                                                                                                  AppBundle:Association:update                          
  app_association_delete                            ANY        ANY      ANY    /association/delete/{id}                                                                                                                                                                                                                                                                                  AppBundle:Association:delete                          
  app_association_view                              ANY        ANY      ANY    /association/view/{id}                                                                                                                                                                                                                                                                                    AppBundle:Association:view                            
  app_association_suAdmin_autocomplete              ANY        ANY      ANY    /association/suAdminAutocomplete                                                                                                                                                                                                                                                                          AppBundle:Association:suAdminAutocomplete             
  app_association_moderate                          ANY        ANY      ANY    /association/moderate/{id}                                                                                                                                                                                                                                                                                AppBundle:Association:moderate                        
  app_association_activate                          ANY        ANY      ANY    /association/activate/{id}                                                                                                                                                                                                                                                                                AppBundle:Association:activate                        
  app_association_add_admin                         ANY        ANY      ANY    /association/admin/{id}                                                                                                                                                                                                                                                                                   AppBundle:Association:addAdmin                        
  app_association_delete_admin                      ANY        ANY      ANY    /association/{association}/admin/{id}/delete                                                                                                                                                                                                                                                              AppBundle:Association:deleteAdmin                     
